日期,收盘,开盘,高,低,交易量,涨跌幅
2020/8/11,3080.67,3109.96,3157.73,3074.29,3.72,-0.0214
2020/8/10,3148.16,3170.18,3170.18,3103,3.17,-0.0061
2020/8/7,3167.46,3224.01,3240.81,3140.67,3.94,-0.0178
2020/8/6,3225,3195.4,3245.83,3165.51,3.94,0.0062
2020/8/5,3205.03,3142.1,3213.34,3129,3.93,0.0211
2020/8/4,3138.83,3112,3166.07,3102,4.69,0.0087
2020/8/3,3111.89,3182.6,3182.6,3104.43,5.07,-0.0167
2020/7/31,3164.68,3244,3246.82,3151,8.08,0.037
2020/7/30,3051.88,3013.55,3091,3005,6.13,0.006
2020/7/29,3033.53,3030.99,3039.16,2996.77,2.97,0.0111
2020/7/28,3000.33,3056.54,3073.97,2996.55,3.13,-0.018
2020/7/27,3055.21,3062,3096.94,3017.21,4.17,0.0154
2020/7/24,3008.91,2930,3031.58,2888,5.63,0.0075
2020/7/23,2986.55,3095.37,3095.37,2971.16,5.66,-0.0366
2020/7/22,3099.91,3122.78,3146.88,3068,4.1,-0.0122
2020/7/21,3138.29,3232.41,3236.21,3108.46,6.13,-0.0183
2020/7/20,3196.84,3000.2,3201.36,2994.02,7.6,0.0793
2020/7/17,2961.97,3009,3024,2948.45,4.76,-0.0126
2020/7/16,2999.9,2971,3030,2920,6.39,-0.003
2020/7/15,3008.87,3080.95,3098.35,2975.17,5.79,-0.0244
2020/7/14,3084,3085,3123.29,2956.14,7.23,-0.0064
2020/7/13,3104,3251.52,3344,3070.57,7.72,-0.03
